Topic,DataValue,Stratification1,Location
Asthma,0.2,Hispanic,Texas
Asthma,0.3,Age 0-44,North Carolina
Asthma,0.3,Age 0-44,Texas
Asthma,0.3,Hispanic,Texas
Asthma,0.3,Age 0-44,California
Asthma,0.3,Age 0-44,California
Diabetes,0.4,Age 0-44,California
Diabetes,0.4,Age 0-44,Virginia
Asthma,0.4,Age 0-44,Michigan
Asthma,0.4,Age 0-44,Georgia
Asthma,0.4,Age 0-44,Texas
Asthma,0.4,Hispanic,California
Asthma,0.4,Age 0-44,Florida
Diabetes,0.4,Age 0-44,New Jersey
Asthma,0.4,Age 0-44,North Carolina
Asthma,0.4,Age 0-44,North Carolina
Asthma,0.5,Age 0-44,Florida
Asthma,0.5,Age 0-44,Ohio
Diabetes,0.5,Age 0-44,Georgia
Asthma,0.5,Age 0-44,Ohio
Asthma,0.5,Age 0-44,New York
Asthma,0.5,Age 0-44,Texas
Asthma,0.5,Age 0-44,Pennsylvania
Diabetes,0.5,Age 0-44,New Jersey
Asthma,0.5,Age 0-44,Pennsylvania
Asthma,0.5,Age 0-44,Massachusetts
Diabetes,0.5,Age 0-44,North Carolina
Asthma,0.5,Hispanic,Texas
Asthma,0.5,Age 0-44,Arizona
Asthma,0.5,Age 0-44,Georgia
Asthma,0.5,Hispanic,California
Asthma,0.5,Age 0-44,Washington
Diabetes,0.5,Age 0-44,Florida
Asthma,0.5,Age 0-44,California
Asthma,0.5,Overall,Kentucky
Asthma,0.5,Age 0-44,Virginia
Asthma,0.5,Age 0-44,Pennsylvania
Diabetes,0.5,Age 0-44,Massachusetts
Asthma,0.5,Age 0-44,Florida
Diabetes,0.5,Age 0-44,New York
Diabetes,0.5,Age 0-44,Pennsylvania
Asthma,0.6,Age 0-44,Virginia
Asthma,0.6,Age 0-44,Virginia
Asthma,0.6,Age 0-44,Illinois
Asthma,0.6,Age 0-44,Maryland
Asthma,0.6,Age 0-44,Tennessee
Diabetes,0.6,Hispanic,Florida
Asthma,0.6,Age 0-44,New Jersey
Diabetes,0.6,Age 0-44,Massachusetts
Asthma,0.6,"White, non-Hispanic",Illinois
Diabetes,0.6,Age 0-44,New Jersey
Asthma,0.6,Age 0-44,Maryland
Diabetes,0.6,Age 0-44,Illinois
Asthma,0.6,Hispanic,California
Asthma,0.6,"White, non-Hispanic",Michigan
Asthma,0.6,Male,North Carolina
Cardiovascular Disease,0.6,Age 0-44,Massachusetts
Asthma,0.6,Male,Texas
Asthma,0.6,Male,Virginia
Asthma,0.6,Age 0-44,New Jersey
Diabetes,0.6,Age 0-44,Michigan
Diabetes,0.6,Age 0-44,Texas
Asthma,0.7,"White, non-Hispanic",Michigan
Asthma,0.7,Age 0-44,Ohio
Asthma,0.7,Overall,Kentucky
Asthma,0.7,Male,Massachusetts
Diabetes,0.7,Age 0-44,Massachusetts
Asthma,0.7,Age 0-44,Washington
Diabetes,0.7,Age 0-44,Wisconsin
Asthma,0.7,Overall,Utah
Asthma,0.7,Age 0-44,Georgia
Asthma,0.7,Age 0-44,South Carolina
Asthma,0.7,Male,Colorado
Asthma,0.7,Age 0-44,Massachusetts
Asthma,0.7,"White, non-Hispanic",Kentucky
Asthma,0.7,Age 0-44,Wisconsin
Diabetes,0.7,Age 0-44,New York
Asthma,0.7,Age 0-44,Minnesota
Asthma,0.7,Hispanic,Florida
Diabetes,0.7,Age 0-44,Minnesota
Asthma,0.7,Age 0-44,Arizona
Diabetes,0.7,Age 0-44,Louisiana
Cancer,0.7,Hispanic,North Carolina
Asthma,0.7,Age 0-44,New York
Asthma,0.7,Male,North Carolina
Diabetes,0.7,Age 0-44,Washington
Asthma,0.7,Age 0-44,Tennessee
Asthma,0.7,Age 0-44,New York
Asthma,0.7,Male,Colorado
Asthma,0.7,Age 0-44,New Jersey
Asthma,0.7,Male,Missouri
